"SRE;ESCOLA"
"BARRA DE SÃO FRANCISCO;EEEFM ECOPORANGA"
"CACHOEIRO DE ITAPEMIRIM;EEEFM PRESIDENTE GETÚLIO VARGAS"
"CACHOEIRO DE ITAPEMIRIM;EEEM CEI ATTILA DE ALMEIDA MIRANDA"
"CARAPINA;EEEFM COLÉGIO ESTADUAL DO ESPÍRITO SANTO"
"CARAPINA;EEEFM ALMIRANTE BARROSO"
"CARAPINA;EEEFM ELZA LEMOS ANDREATTA"
"CARAPINA;EEEFM PROF. JOÃO LOYOLA"
"CARAPINA;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI"
"CARAPINA;EEEFM IRMA MARIA HORTA"
"CARAPINA;EEEFM JACARAIPE"
"CARAPINA;CEEMTI FERNANDO DUARTE RABELO"
"CARAPINA;EEEFM ANTONIO JOSE PEIXOTO MIGUEL"
"CARIACICA;EEEFM MARIA DE LOURDES POYARES LABUTO"
"CARIACICA;EEEFM JESUS CRISTO REI"
"CARIACICA;EEEFM ANA LOPES BALESTRERO"
"CARIACICA;EEEFM JOSE VITOR FILHO"
"CARIACICA;EEEFM SATURNINO RANGEL MAURO"
"LINHARES;EEEM EMIR DE MACEDO GOMES"
"LINHARES;EEEFM MISAEL PINTO NETTO"
"SÃO MATEUS;EEEM CECILIANO ABEL DE ALMEIDA"
"VILA VELHA;EEEFM ZENOBIA LEAO"
"VILA VELHA;EEEM ORMANDA GONÇALVES"
"BARRA DE SÃO FRANCISCO;EEEFM GOVERNADOR LINDENBERG"
"CARAPINA;EEEFM PROFESSOR JOAO ANTUNES DAS DORES"
"CARAPINA;EEEFM ROMULO CASTELLO"
"CARIACICA;EEEFM HUNNEY EVEREST PIOVESAN"
"CARIACICA;EEEFM IRMA DULCE LOPES PONTE"
"CARIACICA;EEEFM PROF JOAQUIM BARBOSA QUITIBA"
"COLATINA;EEEFM EURICO SALLES"
"LINHARES;EEEFM CABOCLO BERNARDO"
"LINHARES;EEEFM PROFESSORA REGINA BANHOS PAIXAO"
"LINHARES;EEEFM PRIMO BITTI"
"LINHARES;EEEFM ERMENTINA LEAL"
"VILA VELHA;EEEM MARIO GURGEL"
"VILA VELHA;EEEFM CATHARINA CHEQUER"
"VILA VELHA;EEEFM TERRA VERMELHA"
"VILA VELHA;EEEFM CORONEL GOMES DE OLIVEIRA"
"CARAPINA;EEEFM ARLINDO FERREIRA LOPES"
"CARAPINA;EEEFM ELICE BAPTISTA GAUDIO"
"CARAPINA;EEEF FRANCISCO ALVES MENDES"
"CARAPINA;EEEFM PROF MARIA OLINDA DE OLIVEIRA MENEZES"
"CARAPINA;EEEFM SERRA SEDE"
"CARAPINA;EEEFM VILA NOVA DE COLARES"
"CARAPINA;EEEFM IRACEMA CONCEIÇAO SILVA"
"CARAPINA;EEEFM MESTRE ALVARO"
"CARIACICA;EEEFM DR JOSE MOYSES"
"LINHARES;EEEFM PROFESSOR MANOEL ABREU"
"LINHARES;EEEFM NOSSA SENHORA DA SAUDE"
"SÃO MATEUS;EEEFM IRMA TEREZA ALTOE"
"CACHOEIRO DE ITAPEMIRIM;EEEFM ZACHEU MOREIRA DA FRAGA"
